language,n,accuracy
en,4424,0.38019891500904157
de,43,0.23255813953488372
ar,34,0.0
af,30,0.16666666666666666
pt,23,0.08695652173913043
cy,22,0.22727272727272727
es,20,0.05
unknown,15,0.3333333333333333
fr,14,0.14285714285714285
tl,12,0.25
no,12,0.16666666666666666
id,11,0.18181818181818182
so,11,0.18181818181818182
nl,11,0.36363636363636365
it,10,0.4
ca,9,0.1111111111111111
ro,8,0.625
et,7,0.0
sv,7,0.14285714285714285
da,7,0.0
fi,4,0.25
sw,4,0.5
tr,4,0.0
vi,4,0.25
sk,3,0.3333333333333333
hu,2,0.0
pl,1,1.0
sl,1,0.0
el,1,0.0
sq,1,0.0
